threshold,precision,recall,f1,accuracy
0.53,0.7387096774193549,0.7065478231059308,0.7222708953916244,0.7223195515066573
0.54,0.7440147329650092,0.6924922865958176,0.7173295454545454,0.7210932025227751
0.55,0.751232461130072,0.6791223860130271,0.7133597407274037,0.7210932025227751
0.56,0.7574334898278561,0.6636955776482688,0.7074730495158048,0.7195164681149264
0.57,0.7634754625905068,0.6506684950291395,0.702572644826948,0.7184653118430273
0.58,0.7709987463435019,0.6324991429550908,0.6949152542372882,0.716187806587246
0.59,0.7767624020887729,0.6119300651354131,0.6845637583892618,0.7118079887876664
0.6,0.7817351598173516,0.5869043537881385,0.670452320344625,0.7051506657323056
0.61,0.7846593616007622,0.5646211861501542,0.6566985645933014,0.6983181499649614
0.62,0.7938816449348044,0.5426808364758313,0.6446752188963552,0.6942887175893483
0.63,0.8001063264221159,0.5159410353102503,0.6273447269695707,0.6867554309740714
0.64,0.8075834748160724,0.4892012341446692,0.6093082835183604,0.6793973370707779
0.65,0.8123486682808717,0.460061707233459,0.5874370759465967,0.6697617379117029
0.66,0.8214983713355049,0.4322934521768941,0.5664869721473496,0.6618780658724597
0.67,0.8280701754385965,0.4045251971203291,0.5435283279594657,0.6527680448493343
0.68,0.8386123680241327,0.381213575591361,0.5241574357765731,0.6462859145059565
0.69,0.8494271685761048,0.35584504628042507,0.5015704276395264,0.6385774351786966
0.7,0.846911369740376,0.32430579362358586,0.4690133862171542,0.6247372109320253
0.71,0.8542074363992173,0.29928008227631125,0.44325971058644326,0.6158023826208829
0.72,0.8546824542518837,0.2721974631470689,0.4128965158606344,0.6044148563419762
0.73,0.8690909090909091,0.24580047994514911,0.38321753073222875,0.5956552207428171
0.74,0.8755186721991701,0.21700377099760026,0.3478021978021978,0.5840925017519272
0.75,0.8767334360554699,0.19506342132327734,0.319125070106562,0.5746320953048353
0.76,0.8784722222222222,0.1734658896126157,0.28972230174634983,0.5653468815697267
0.77,0.8864097363083164,0.14981145011998628,0.2563049853372434,0.5557112824106517
0.78,0.8952380952380953,0.12889955433664724,0.22535211267605634,0.5471268395234758
0.79,0.8978494623655914,0.11450119986287281,0.20310124657950746,0.5408199018920813
0.8,0.8985074626865671,0.10318820706205005,0.18511685116851168,0.535739313244569
0.81,0.9119718309859155,0.08878985258827563,0.16182442986566697,0.529957953749124
0.82,0.9117647058823529,0.0743914981145012,0.1375594294770206,0.5233006306937631
0.83,0.9019607843137255,0.06307850531367844,0.11791092598526114,0.5176944639103014
0.84,0.9090909090909091,0.051422694549194375,0.0973393900064893,0.5126138752627891
0.85,0.927007299270073,0.04353788138498457,0.08316961362148002,0.5094604064470918
0.86,0.9680851063829787,0.031196434693177923,0.060445034872135504,0.5043798177995795
0.87,0.9838709677419355,0.020911895783339046,0.040953340046995634,0.49947442186405044
0.88,1.0,0.011655810764484058,0.02304303625889529,0.49491941135248774
0.89,1.0,0.008913267055193692,0.01766904519198097,0.4935178696566223
0.9,1.0,0.006513541309564621,0.012942779291553134,0.49229152067274
0.91,1.0,0.004456633527596846,0.008873720136518772,0.4912403644008409
0.92,1.0,0.0034281796366129585,0.006832934745473181,0.4907147862648914
0.93,1.0,0.0010284538909838875,0.002054794520547945,0.4894884372810091
0.94,1.0,0.00034281796366129587,0.0006854009595613434,0.48913805185704273
0.95,0.0,0.0,0.0,0.48896285914505955
